participant	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
11004	BHRC	1	-70			1	1	1	1	Pass
11004	BHRC	2	-58	1	1	1	1	1	1	Pass
11005	BHRC	1	-56		1	1		1	1	Pass
11005	BHRC	2	-37	1			1		1	Pass
11018	BHRC	1	-56			1	1	1	1	Pass
11021	BHRC	1	-98	1	1				1	Pass
11030	BHRC	1	-114		0.75	1		1	0.916666667	Artifact
11030	BHRC	2	-76	1			1		1	Pass
11038	BHRC	1	-127	1	1	1	1	1	1	Pass
11038	BHRC	2	-85		1	1		1	1	Pass
11039	BHRC	1	-85	1			1		1	Pass
11044	BHRC	1	-75	1	1				1	Pass
11054	BHRC	1	-156	1	1	1	1	1	1	Pass
11058	BHRC	1	-119			1	1	1	1	Pass
11058	BHRC	2	-88			1	1	1	1	Pass
11063	BHRC	2	-81	1	1	1	0.75	0.75	0.9	Artifact
11065	BHRC	2	-100		1	1		1	1	Pass
11106	BHRC	1	-198		0.75	1		1	0.916666667	Artifact
11115	BHRC	1	-82	1	1	1	1	1	1	Pass
11115	BHRC	2	-83	1	1	1	1	1	1	Pass
11120	BHRC	1	-68	1			1		1	Pass
11122	BHRC	1	-85	1	1	1	1	1	1	Pass
11122	BHRC	2	-48	1	1				1	Pass
11133	BHRC	1	-67			1	1	0.5	0.833333333	Artifact
11144	BHRC	1	-139	1	1				1	Pass
11144	BHRC	2	-106	1	1				1	Pass
11149	BHRC	1	-114	1	1	1	1	1	1	Pass
11149	BHRC	2	-102			1	1	1	1	Pass
11150	BHRC	2	-68	1	1	1	1	1	1	Pass
11156	BHRC	1	-170			1	1	1	1	Pass
11156	BHRC	2	-104		1	1		1	1	Pass
11159	BHRC	1	-47			1	1	1	1	Pass
11159	BHRC	2	-38	1	1	1	1	1	1	Pass
11160	BHRC	1	-59	1	1				1	Pass
11161	BHRC	1	-64	1	1				1	Pass
11161	BHRC	2	-61			1	1	1	1	Pass
11165	BHRC	1	-76	1	1	1	1	1	1	Pass
11170	BHRC	1	-128	1	1				1	Pass
11170	BHRC	2	-102	1	1	1	1	1	1	Pass
11171	BHRC	1	-72			1	1	1	1	Pass
11171	BHRC	2	-38	1			1		1	Pass
11173	BHRC	1	-166		0.75	1		1	0.916666667	Artifact
11197	BHRC	1	-71	1	1				1	Pass
11207	BHRC	1	-50			1	1	1	1	Pass
11207	BHRC	2	-62	1	1				1	Pass
11210	BHRC	1	-67		1	1		1	1	Pass
11210	BHRC	2	-48	1	1				1	Pass
11227	BHRC	2	-68	1	1				1	Pass
11239	BHRC	1	-67	1			1		1	Pass
11244	BHRC	2	-34	1			1		1	Pass
11276	BHRC	3	-130	0.5	0.25				0.375	Artifact
11325	BHRC	2	-61	1	1				1	Pass
11329	BHRC	2	-66	1	1	1	1	1	1	Pass
11455	BHRC	2	-88		1	1		1	1	Pass
11477	BHRC	2	-41	1	1				1	Pass
11619	BHRC	2	-165	0	0	0.75	0.25	0.5	0.3	Artifact
11723	BHRC	2	-78		1	1		1	1	Pass
11756	BHRC	2	-108	1	1				1	Pass
11830	BHRC	2	-59	1	1	1	1	1	1	Pass
11843	BHRC	2	-69			1	1	1	1	Pass
11914	BHRC	2	-72	1	1				1	Pass
20004	BHRC	1	-45		1	1		1	1	Pass
20004	BHRC	2	-55		1	1		1	1	Pass
20006	BHRC	2	-52		1	1		1	1	Pass
20008	BHRC	2	-68			1	1	0.5	0.833333333	Artifact
20010	BHRC	3	-84	1			1		1	Pass
20013	BHRC	1	-109	1	1				1	Pass
20013	BHRC	2	-98	1			1		1	Pass
20014	BHRC	2	-40	1			1		1	Pass
20016	BHRC	2	-38			1	1	1	1	Pass
20018	BHRC	2	-73			1	1	1	1	Pass
20032	BHRC	1	-94	1			1		1	Pass
20032	BHRC	2	-58	1	1	1	1	1	1	Pass
20035	BHRC	1	-59			1	1	1	1	Pass
20035	BHRC	2	-72		1	1		1	1	Pass
20040	BHRC	1	-123			1	1	1	1	Pass
20041	BHRC	1	-53	1	1	1	1	1	1	Pass
